"sample_name","genus_tax_id","name","category","nt_rpm","nt_count","nt_alignment_length","nr_count","p_adj"
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella disiens","bacteria",145.2844453,7508,661.58,1603209,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella intermedia","bacteria",15389.72122,795309,2100.45,24296,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella melaninogenica","bacteria",7496.584495,387408,750.207,237976,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella timonensis","bacteria",16.56412962,856,203.414,613437,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella bivia","bacteria",24.01411783,1241,188.581,497636,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella scopos","bacteria",1551.319752,80169,2410.14,6825,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella jejuni","bacteria",1435.738506,74196,828.508,4460,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella corporis","bacteria",0.967530936,50,86.5,70539,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella denticola","bacteria",1051.899633,54360,1445.9,6364,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella fusca","bacteria",641.1827511,33135,921.873,1601,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella sp. oral taxon 299","bacteria",565.3863776,29218,709.095,527,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella oris","bacteria",434.5955457,22459,561.127,1928,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella copri","bacteria",328.1090909,16956,599.12,6798,0.037013205
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella enoeca","bacteria",393.9592464,20359,1273.83,292,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella dentalis","bacteria",162.4290935,8394,406.982,308,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella nigrescens","bacteria",1.277140835,66,91.25,8361,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella salivae","bacteria",1.083634648,56,275,7531,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella veroralis","bacteria",0.15480495,8,108.667,4247,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella ruminicola","bacteria",46.30603058,2393,128.901,888,0.000189359
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"Prevotella loescheii","bacteria",0.638570418,33,96.5,281,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",838,"uncultured Prevotella sp.","bacteria",5.41817324,280,90.1333,4,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",168808,"Sneathia amnii","bacteria",16103.83645,832213,1931.95,355037,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",150022,"Finegoldia magna","bacteria",6733.29934,347963,285.226,353487,2.90393900139158e-29
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2701,"Gardnerella vaginalis","bacteria",3952.673482,204266,221.732,248529,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2701,"Gardnerella leopoldii","bacteria",228.9952219,11834,196.447,57,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2081703,"Peptostreptococcaceae bacterium oral taxon 929","bacteria",5435.646849,280903,345.274,80786,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",162289,"Peptoniphilus harei","bacteria",3045.92284,157407,209.899,156402,2.9344606157909e-69
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",162289,"Peptoniphilus duerdenii","bacteria",0.174155568,9,146,91316,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",162289,"Peptoniphilus lacrimalis","bacteria",0.116103712,6,94,30339,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",162289,"Peptoniphilus asaccharolyticus","bacteria",2.515580433,130,82.4,20539,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",162289,"Peptoniphilus sp. ING2-D1G","bacteria",38.93344485,2012,120.783,890,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",162289,"Peptoniphilus ivorii","bacteria",49.88589505,2578,152.938,237,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",836,"Porphyromonas asaccharolytica","bacteria",3643.818257,188305,325.198,45057,2.7257181277343e-160
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",836,"Porphyromonas uenonis","bacteria",3.966876837,205,125.649,174816,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",836,"Porphyromonas gingivalis","bacteria",636.9836669,32918,2761.95,4544,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",836,"Porphyromonas crevioricanis","bacteria",19.83438418,1025,326.675,305,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",836,"Porphyromonas bennonis","bacteria",0.116103712,6,214,684,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",836,"Porphyromonas cangingivalis","bacteria",7.062975831,365,74.7286,13,1.00033271373378e-08
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1257,"Peptostreptococcus anaerobius","bacteria",62.30899226,3220,776.751,187260,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1257,"Peptostreptococcus stomatis","bacteria",0.193506187,10,76.75,4419,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",810,"Chlamydia trachomatis","bacteria",0.038701237,2,111,189335,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",165779,"Anaerococcus mediterraneensis","bacteria",1207.149647,62383,274.037,20887,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",165779,"Anaerococcus vaginalis","bacteria",820.2920779,42391,1549.82,14355,2.01578812193036e-16
