"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",838,2,838,"Prevotella","","bacteria","false",311669176.800375,100,99,29701.5355740505,1534914,3522,1218708,90.4181,1560.12,"10^-176.534",3.82733,3.51689,NA,NA,100,65024.1549760964,3360314,11396,2942938,98.1473,279.756,"10^0.000710834",NA,NA,NA,NA,"[28130, 28131, 28132, 386414, 28125, 589437, 1177574, 28128, 28129, 28127, 1917878, 589436, 652716, 419005, 28135, 165179, 76123, 1161412, 60133, 242750, 52227, 28133, 563031, 228604, 1703337, 1227276, 1392486, 439703, 1111130, 2219999, 1384078, 28137, 1855325, 1284775, 470565, 839, 712461, 652722, 652721, 282402, 305719, 28126, 28134, 59823, 228603, 633701, 2508867, 189722, 407975, 1287488, 2608404, 28136, 1433844, 77095, 2022527, 52229, 2024224, 1761886, 2081962, 1262922, 1200547, 712466, 1739496, 363265, 340486, 1032506, 1262929, 1602169, 1262933, 1262934, 2293125, 310514, 840, 596085, 2079531, 77768, 159272, 1262926, 1262931, 515414, 1761883, 1262930, 1262918, 81582, 425941, 1262937, 2491051, 83231, 1231727, 1231730, 189723, 2292054, 655809, 2024223, 2024228, 2024227, 1262919, 1776388, 1262928, 2518605, 1739520, 1262932, 589537, 2024216, 185293, 1761887, 1262921, 2024222, 185294, 2024219, 1263103, 1262925, 1739487, 1776379, 2024226, 2292365, 2292364, 1280674, 1739459, 1231729, 2736294, 2490854, 1761888, 2033405, 2024225, 1262938, 1263102, 1262920, 1897014, 2033406, 126378, 1761884, 645274, 2736295, 2479840, 2024217, 2736291, 2736290, 1262923, 2736289, 1761885, 1231731, 1676614, 1410613, 1262927, 1262924]",0,2196.26125458998,2.26765621228223e-19,3.20139700557492e-19
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",168808,2,168808,"Sneathia","","bacteria","false",226535557.237736,100,99,16103.8364525226,832213,1157,785814,98.1463,1931.95,"10^-264.438",0.526179,0.744129,NA,NA,100,15033.998795636,776926,1120,745034,96.5716,311.977,"10^0.000345742",NA,NA,NA,NA,"[187101, 2777994, 40543]",0,0,0,0
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",150022,2,150022,"Finegoldia","","bacteria","false",134394988.406523,100,99,6733.29933986747,347963,1983,224390,96.5595,285.226,"10^-131.85",0.861308,0.270186,NA,NA,100,6940.00264897926,358645,2123,233704,97.4684,85.0499,"10^0.00145104",NA,NA,NA,NA,"[1260, 2584649, 2584651, 2584652, 2584650, 2584653]",0,320.209540349257,2.32300836000424e-28,3.34991763502757e-28
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",2701,2,2701,"Gardnerella","","bacteria","false",86832051.9868044,100,99,4182.52013149764,216144,1568,118184,95.3917,220.452,"10^-102.168",1.84163,2.60445,NA,NA,100,4848.83933632401,250578,1939,143210,97.154,71.7632,"10^0.000833579",NA,NA,NA,NA,"[2702, 2792978, 1973156, 2792979, 1973155, 1841133, 2792977, 1840518, 293424, 2049026]",0,0,0,0
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",162289,2,162289,"Peptoniphilus","","bacteria","false",60117844.4376437,100,99,3138.18659007713,162175,837,75570,91.9847,207.416,"10^-85.1324",2.53695,2.09953,NA,NA,100,11132.7786083958,575319,3401,300397,95.3578,67.1462,"10^0.00194249",NA,NA,NA,NA,"[54005, 1465757, 507750, 1111133, 33031, 1258, 1465756, 2058292, 1739305, 1776390, 755172, 1477000, 1111134, 1871017, 1739525, 671216, 33030, 2731255, 1175452, 1912856, 54006, 1756987, 1720298, 1472765, 712430, 1776387, 1673725, 2582829, 1268254, 1660341, 652713, 1344337, 254354, 1354300]",0,58.9321504326013,1.47274364653641e-66,2.17992011117284e-66
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",836,2,836,"Porphyromonas","","bacteria","false",44792609.0195859,100,99,4311.78226451269,222824,1758,153056,91.4938,591.326,"10^-129.173",0.526179,0.744129,NA,NA,100,4800.30798458722,248070,2466,163288,95.8429,88.4156,"10^0.00183285",NA,NA,NA,NA,"[28123, 281920, 837, 1739529, 322095, 1739394, 1262916, 28115, 393921, 28114, 28124, 501496, 266762, 111105, 36874, 29524, 1884669, 712437, 36875, 41976, 1924944, 1515615, 658663, 1583331, 1537504, 1515617, 997829, 1515614]",0,30.0632292554901,9.42139028646095e-173,1.45210419094077e-172
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",1257,2,1257,"Peptostreptococcus","","bacteria","false",36859058.5280032,100,100,64.0892491835082,3312,7,2126,93.647,760.286,"10^-203.503",NA,NA,NA,NA,100,4948.06930909364,255706,1556,136511,97.9713,79.8535,"10^0.00138982",NA,NA,NA,NA,"[1261, 1219626, 1263100, 341694, 72304, 215200, 1159213, 2045015, 169971, 1151463, 135075]",0,0,0,0
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",165779,2,165779,"Anaerococcus","","bacteria","false",31134713.9933599,99,99,2910.89422265276,150429,503,79180,93.6619,603.791,"10^-119.421",7.10658,0.376538,NA,NA,99,6580.27464707062,340055,1976,189629,90.2014,87.493,"10^0.0021565",0.263089,0.372065,NA,NA,"[33032, 1870984, 33037, 33034, 33036, 1287640, 2057799, 2042308, 33029, 2057797, 1977277, 938293, 1720199, 1673719, 2614127, 1288120, 1739537, 1739356, 1745712, 1739286, 1755241, 54007, 2606621, 2742993, 293428]",0,157.329698795082,2.4323281434538e-25,3.49257374444649e-25
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",543311,2,543311,"Parvimonas","","bacteria","false",27532253.8136435,100,99,2086.77072220698,107840,521,60451,90.5029,325.985,"10^-102.627",1.19644,0.203758,NA,NA,100,3147.47488706024,162655,948,106035,96.8368,101.339,"10^0.000481606",NA,NA,NA,NA,"[1588755, 33033, 713008, 671230, 747372]",0,0,0,0
"DOXYPEP_R007_PLATE2_RECTAL_DNA_SEQ091_S186",848,2,848,"Fusobacterium","","bacteria","false",16695895.722969,100,99,2595.51783883851,134131,548,47587,94.822,191.959,"10^-72.7615",4.30654,1.35093,NA,NA,100,3244.94395352683,167692,775,70084,92.2577,71.502,"10^0.00174221",NA,NA,NA,NA,"[849, 1852365, 851, 859, 2663009, 134605, 1583098, 860, 285729, 77917, 1755100, 671211, 2764326, 856, 861, 712288, 850, 854, 1262900, 936561, 2787123, 1032505, 1739543, 936562, 1262899, 1739279, 2605786, 1739251, 159267, 858, 936563, 2725304, 852, 2665157]",0,0.610648776320418,0,0
