"sample_name","genus_tax_id","name","category","nt_rpm","nt_count","nt_alignment_length","nr_count","p_adj"
"DoxyPep_R027_Rectal_RNA_Seq093_S1",77133,"uncultured bacterium","bacteria",211290.1152,3406726,330.58,523039,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",155900,"uncultured organism","",31194.80894,502968,281.692,346,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",1898207,"Clostridiales bacterium","bacteria",79.13938105,1276,134.207,289,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",198431,"uncultured prokaryote","",19.7228238,318,160.407,1128,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",172733,"uncultured Clostridiales bacterium","bacteria",12.96248483,209,123.636,37,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",245014,"butyrate-producing bacterium SS3/4","bacteria",12.59035608,203,134.235,12,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",2717699,"bacterium BFN5","bacteria",7.380553562,119,173.941,28,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",1393662,"uncultured bacterium Contigcl_1787","bacteria",2.666922716,43,129.333,377,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",175245,"uncultured fungus","eukaryota",1.736600838,28,131,1,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",1869227,"bacterium","bacteria",1.116386253,18,130.8,128,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",1230730,"Tissierellia bacterium S5-A11","bacteria",1.054364795,17,146,1,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",190966,"uncultured pig faeces bacterium","bacteria",0.992343336,16,137,16,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",1588750,"Clostridiales bacterium KA00134","bacteria",0.930321878,15,129.333,12,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",29521,"Brachyspira pilosicoli","bacteria",107740.8247,1737154,1357.18,798433,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",29521,"Brachyspira alvinipulli","bacteria",14.76110712,238,119.062,30419,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",29521,"Brachyspira hyodysenteriae","bacteria",1127.240008,18175,202.937,901,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",29521,"Brachyspira innocens","bacteria",1104.292069,17805,135.623,28,0
"DoxyPep_R027_Rectal_RNA_Seq093_S1",29521,"Brachyspira hampsonii","bacteria",512.4833116,8263,132.972,1015,0
