"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",29521,2,29521,"Brachyspira","","bacteria","false",1572608039.03894,100,100,113965.2983016,1837514,1189,1597610,99.3596,1300.57,"10^-232.04",NA,NA,NA,NA,100,52190.6852024022,841494,1202,812392,96.2892,220.758,"10^0.000208549",NA,NA,NA,NA,"[52584, 542834, 84379, 159, 13264, 1287055, 2608385, 84377, 235984, 84378, 310721, 797080, 29522, 1358104, 797076, 1262760, 221953, 797079, 381802, 120157, 545019, 796920, 310715, 242791, 120160, 1203235, 545018, 310717, 242785, 1763438]",1,0.157913029256026,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",816,2,816,"Bacteroides","","bacteria","false",1029307505.11853,100,100,86166.5983640442,1389303,2346,1229552,98.8475,670.247,"10^-211.339",NA,NA,NA,NA,100,118891.53870766,1916942,2671,1565540,93.412,120.734,"10^0.00132393",NA,NA,NA,NA,"[817, 47678, 28116, 457391, 820, 2162637, 162156, 371601, 46506, 2715212, 674529, 338188, 1263047, 818, 469589, 1133319, 1347393, 457395, 85831, 2292935, 392838, 28111, 329854, 1965632, 310300, 457390, 2650157, 291644, 2292919, 290053, 246787, 2516958, 626930, 1262754, 1796613, 28113, 2763023, 28119, 376806, 626929, 291645, 2763022, 457394, 469588, 2785531, 1262741, 2292943, 2755405, 469585, 1263048, 2650158, 477666, 2302937, 1903262, 1263053, 2528203, 1841855, 469590, 1263042, 469593, 1965620, 2086579, 1263037, 2697504, 1263056, 2292284, 2447885, 626931, 2292923, 2024197, 1871006, 457393, 1739298, 2292285, 1262749, 457387, 2302936, 2292913, 585543, 1262750, 2292939, 2025659, 1907658, 1917883, 2787080, 1965613, 691816, 1263043, 871325, 1263050, 1262735, 871324, 2292930, 2292281, 2723058, 1262746, 1897051, 1263049, 1263052, 1262744, 457389, 2763020, 2292957, 2302925, 1263039, 2292952, 2292945, 1262743, 1739319, 2787083, 1263040, 2292948, 2292938, 1450439, 1262753, 1470345, 2292193, 2292951, 1852362, 2292917, 1262739, 2709390, 469592, 2292002, 1263045, 1262752, 1965580, 1897052, 2292940, 1896974, 2292283, 1297750, 1263044, 2292927, 1262751, 1262738, 1263055, 1263041, 2516960, 556259, 1263054, 1262748, 1262740, 1177429, 1841856, 585544, 2292941, 1965640, 1262737, 457392, 93975, 2739389, 2302938, 2184759, 2763021, 2302926, 2292280, 556258, 165156, 2292924, 2292920, 1163670, 643958]",0,0.00413863087190575,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",838,2,838,"Prevotella","","bacteria","false",949562794.632373,100,100,70680.0262399598,1139606,602,734554,93.9338,299.599,"10^-118.234",NA,NA,NA,NA,100,63243.4673009494,1019703,1602,654960,88.8319,69.7767,"10^0.00092903",NA,NA,NA,NA,"[165179, 589437, 28135, 28132, 28129, 652716, 1262929, 28133, 839, 363265, 60133, 652721, 28131, 1262930, 1177574, 52227, 76123, 1602169, 77095, 589436, 2293125, 1263103, 1262932, 2022527, 1263102, 2518605, 1262922, 1262925, 2079531, 1231727, 28125, 386414, 189722, 1262924, 1761886, 2292054, 419005, 28130, 2024224, 28137, 2292364, 159272, 185294, 1262934, 28126, 2033405, 1262919, 28128, 2024226, 2033406, 1739459, 1262937, 633701, 1262926, 2024227, 2024222, 2479840, 1111130, 2024228, 1262931, 2292365, 2024223, 1262918, 2736294, 28134, 712461, 1262935, 228604, 77768, 407975, 1855325, 439703, 28127, 840, 2024225, 2024216, 1262921, 2024219, 1776379, 470565, 2024217, 1262928, 645274, 83231, 1703337, 228603, 1410613, 655809, 1739520, 1408310, 1262920, 1280674, 2490854, 59823, 28136, 1761887, 305719, 1917878, 1262927, 1284775, 282402, 1676614, 1761883, 537296, 242750, 1262933, 1262938, 2491051, 189723, 2736290, 2024218, 1384078, 2736295, 2024220, 1161412, 310514, 2736291, 1761884, 712466, 2508867, 243905, 81582, 2081962, 1262936, 1262917, 52229, 1433844, 1897014, 1287488, 1262923, 537297, 515414, 425941, 1761889, 1158294, 563031, 242665, 1871004, 1761888, 1392486, 163561]",3,2.05204823124178,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",909656,2,909656,"Phocaeicola","","bacteria","false",825508093.547169,100,100,95557.2673961415,1540713,1545,1387667,97.7802,621.857,"10^-178.564",NA,NA,NA,NA,100,58131.9067768801,937287,1435,715142,90.5045,145.221,"10^0.000519054",NA,NA,NA,NA,"[357276, 821, 671267, 310297, 376805, 310298, 204516, 387090, 2762213, 376804, 732242, 2762212, 555313]",0,0.0251562210494048,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",2316020,2,2316020,"Mediterraneibacter","","bacteria","false",392737861.470574,100,100,26936.849750184,434315,156,389532,97.8186,626.342,"10^-229.502",NA,NA,NA,NA,100,25423.3400983098,409912,164,347723,83.5666,120.897,"10^0.000158159",NA,NA,NA,NA,"[33039, 33038, 46228, 592978, 342942, 2763054, 1720300, 2316025, 2527876, 2594882]",0,0.00090797960493543,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",216851,2,216851,"Faecalibacterium","","bacteria","false",344222815.984956,100,100,22726.4610181784,366429,96,327355,97.6164,559.911,"10^-178.221",NA,NA,NA,NA,100,12035.5121085438,194054,89,122851,89.639,111.582,"10^0.000313714",NA,NA,NA,NA,"[853, 259315, 2302956, 1262898, 2293109, 1965551, 1971605, 2580425, 2302957, 1965581, 1965648, 2292357, 1965655]",0,0.020450700792983,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",102106,2,102106,"Collinsella","","bacteria","false",297342035.930919,100,100,13468.4558858212,217158,88,199765,98.7525,644.582,"10^-232.204",NA,NA,NA,NA,100,17047.4041487971,274863,100,250157,86.5382,121.899,"10^0.000166684",NA,NA,NA,NA,"[74426, 1965616, 147207, 147206, 2292209, 2292316, 2292227, 1907654, 1965630, 2292015, 2292327, 2292339, 2292207, 742722, 2713419, 2292323, 2292221, 2292315, 2292226, 1896993, 2292340, 2292335, 2292214, 2292213, 2292324, 1262851, 2584628, 2292029, 2292026, 626935, 2018038, 2292028, 2292024, 2292337, 2292336, 2292027, 2292343, 2292325, 1262850, 1870987, 2292344, 2292025, 2292320, 1871016, 2787135, 2292326, 2292334, 2292031, 1965585, 2292332, 2292329, 2292328, 2292314, 2292014, 2292010, 2292218, 2292023, 2292318, 2292020, 1131819, 2292342, 2292341, 2292317, 2292312, 2292030, 2292016, 2292330, 2292225, 2292224, 2292012, 1965612]",0,0.000678195772826041,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",577309,2,577309,"Paraprevotella","","bacteria","false",242640970.174107,100,100,13454.1909503653,216928,30,206606,92.3827,1090.79,"10^-264.629",NA,NA,NA,NA,100,24349.9967374388,392606,31,129704,83.5758,69.9618,"10^0.000180061",NA,NA,NA,NA,"[454154, 454155, 1263095, 910951]",0,0.000112219349018811,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",375288,2,375288,"Parabacteroides","","bacteria","false",237150830.667329,100,100,15039.4594297287,242488,330,215153,97.6068,730.006,"10^-245.727",NA,NA,NA,NA,100,34828.7082160726,561559,553,498577,90.2167,108.332,"10^0.00159349",NA,NA,NA,NA,"[823, 46503, 563193, 2293124, 2293118, 2025876, 387661, 328812, 2320086, 2709398, 1750560, 2292053, 2763057, 1235803, 1871013, 469591, 1897013, 658661, 1263094, 871327, 574930, 457388, 1262913, 1263091, 2292363, 2302940, 2293116, 2293122, 2293120, 2293119, 658662, 2293114, 2086575, 2293123, 1917887, 2293117, 2292241, 2293113, 2292052, 1262912, 512312, 2290935, 1217282, 1944636, 2292362, 1965619, 2293115, 1078087]",0,0.00101598350302817,0,0
"DOXYPEP_R027_RECTAL_RNA_SEQ093_S1",40544,2,40544,"Sutterella","","bacteria","false",211299666.548258,100,100,21485.6597193465,346423,23,330456,93.6375,1060.39,"10^-292.654",NA,NA,NA,NA,100,9587.8352486817,154589,85,148608,98.6042,161.592,"10^0.000675256",NA,NA,NA,NA,"[2584944, 1263111, 40545, 2494234, 1944635, 437898, 1897023, 1262977, 1574262, 286133]",0,0.0218916191858887,0,0
