"","Prevotella","Bacteroides","Faecalibacterium","Finegoldia","Mediterraneibacter","Phocaeicola","Streptococcus","Blautia","Roseburia","Ruminococcus","Coprococcus","Collinsella","Anaerococcus","Anaerobutyricum","Corynebacterium","Peptoniphilus","Bifidobacterium","Fusobacterium","Anaerostipes","Parvimonas","Alistipes","Gardnerella","Megasphaera","Lachnospira","Parabacteroides","Clostridium","Escherichia","Porphyromonas","Sneathia","Lachnoclostridium","Oscillibacter","Dysosmobacter","Butyricimonas","Selenomonas","Brachyspira","Succinivibrio","Faecalitalea","Odoribacter","Staphylococcus","Campylobacter","Acidaminococcus","Dialister","Enterocloster","Flavonifractor","Haemophilus","Clostridioides","Ruthenibacterium","Enterococcus","Paraprevotella","Erysipelatoclostridium"
"Tet(40)",NA,NA,0.0535037910636776,NA,NA,NA,NA,-0.0215226216500436,0.0769739645233826,-0.0789344348428087,NA,-0.0474618988098808,NA,0.0145145091767297,NA,NA,NA,NA,-0.105167981160505,NA,NA,NA,NA,0.0194655454443071,NA,-0.0461580907976649,NA,NA,NA,-0.00842815905427374,0.12026366335138,NA,0.0876027432550709,NA,NA,NA,NA,NA,NA,NA,NA,0.000695909743586798,NA,-0.00205048605780034,NA,0.0142332321436803,NA,NA,NA,-0.062244892009328
"Tet(L)",NA,NA,NA,NA,NA,NA,-0.167514387576079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174440078426644,NA,-0.114443921389667,NA,0.126059244888776,NA,NA,NA,NA,NA,0.104363329807432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EmrY",NA,0.0530502015149634,NA,NA,NA,-0.0245288764226607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139610949187434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359169793666645,NA,NA
"EmrK",NA,-0.0886835826399312,NA,NA,NA,-0.209536700159053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13892751155007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148675417955179,NA,NA
"Tet(B)",NA,0.558769439167537,NA,NA,NA,0.749258986014991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470719624874663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21164701827816,NA,0.580443199915928
"MdfA",NA,0.18909011056296,NA,NA,NA,0.309061603346181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.244987916982508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245423012845501,NA,NA
"Tet(K)",NA,NA,NA,0.10740851437777,NA,NA,NA,NA,NA,NA,NA,NA,-0.0707589257533879,NA,NA,-0.0126129923725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169853098849824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TetA(46)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289776399641866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284777656937428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TetB(46)",NA,0.53365766626206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278465182695624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
